customer_id,recency,frequency,revenue,last_order,R,F,M,RFM_score,segment,aov,clv
CUST-000001,544.0,1,593.6365000000001,2023-07-06 22:18:17,2,1,1,211,At Risk / Lost,593.6365000000001,1780.9095000000002
CUST-000002,220.0,1,1097.0825,2024-05-25 06:21:32,2,1,1,211,At Risk / Lost,1097.0825,3291.2475
CUST-000003,99.0,6,4872.4485,2024-09-23 19:05:12,2,4,3,243,Loyal Customers,812.0747500000001,14617.345500000001
CUST-000004,109.0,5,3109.9985,2024-09-13 19:37:40,2,3,2,232,Others,621.9997000000001,9329.9955
CUST-000005,883.0,1,153.72,2022-08-01 15:36:43,2,1,1,211,At Risk / Lost,153.72,461.15999999999997
CUST-000006,8.0,2,2614.2720000000004,2024-12-23 12:25:57,2,1,2,212,At Risk / Lost,1307.1360000000002,7842.816000000001
CUST-000007,182.0,2,1175.6655,2024-07-02 07:53:37,2,1,1,211,At Risk / Lost,587.83275,3526.9965
CUST-000008,190.0,3,3594.3745,2024-06-24 14:58:37,2,1,2,212,At Risk / Lost,1198.1248333333333,10783.1235
CUST-000009,90.0,2,3386.546,2024-10-01 23:19:22,2,1,2,212,At Risk / Lost,1693.273,10159.637999999999
CUST-000010,926.0,3,4302.4395,2022-06-19 10:52:01,2,1,3,213,At Risk / Lost,1434.1465,12907.318500000001
CUST-000011,702.0,2,1359.1080000000002,2023-01-29 17:04:35,2,1,1,211,At Risk / Lost,679.5540000000001,4077.3240000000005
CUST-000012,61.0,3,4706.216,2024-10-31 17:12:15,2,1,3,213,At Risk / Lost,1568.7386666666669,14118.648000000001
CUST-000013,105.0,3,4660.0215,2024-09-17 06:20:40,2,1,3,213,At Risk / Lost,1553.3405,13980.0645
CUST-000014,443.0,2,2840.852,2023-10-15 00:56:25,2,1,2,212,At Risk / Lost,1420.426,8522.556
CUST-000015,182.0,3,4007.0640000000003,2024-07-02 19:36:51,2,1,3,213,At Risk / Lost,1335.688,12021.192000000001
CUST-000016,20.0,10,16049.23,2024-12-11 12:10:36,2,4,4,244,Loyal Customers,1604.923,48147.69
CUST-000017,256.0,4,4926.8785,2024-04-19 08:41:57,2,2,3,223,At Risk / Lost,1231.719625,14780.6355
